A(X);B(Y)
2.236;6.71E-06
2.238;2.73E-06
2.24;3.10E-06
2.242;6.00E-07
2.244;4.50E-07
2.246;6.86E-06
2.248;5.14E-06
2.25;5.88E-06
2.252;8.66E-06
2.254;4.47E-06
2.256;3.95E-06
2.258;7.68E-06
2.26;2.39E-06
2.262;2.70E-07
2.264;2.10E-06
2.266;4.77E-06
2.268;6.26E-06
2.27;7.67E-06
2.272;5.05E-06
2.274;9.94E-06
2.276;4.80E-06
2.278;3.65E-06
2.28;2.15E-06
2.282;1.91E-06
2.284;3.34E-06
2.286;2.06E-06
2.288;2.89E-06
2.29;4.50E-06
2.292;4.58E-06
2.294;6.98E-06
2.296;3.96E-06
2.298;7.41E-06
2.3;5.69E-06
2.302;4.99E-06
2.304;-2.01E-06
2.306;2.99E-06
2.308;4.15E-06
2.31;5.41E-06
2.312;6.34E-06
2.314;6.23E-06
2.316;4.59E-06
2.318;4.30E-07
2.32;4.99E-06
2.322;3.01E-06
2.324;-4.00E-08
2.326;-1.67E-06
2.328;2.03E-06
2.33;3.72E-06
2.332;3.49E-06
2.334;4.15E-06
2.336;2.08E-06
2.338;5.47E-06
2.34;2.51E-06
2.342;8.60E-07
2.344;1.51E-06
2.346;1.79E-06
2.348;3.43E-06
2.35;3.61E-06
2.352;2.61E-06
2.354;3.95E-06
2.356;2.85E-06
2.358;1.02E-06
2.36;-2.09E-06
2.362;-1.63E-06
2.364;8.00E-08
2.366;-2.50E-07
2.368;-4.30E-07
2.37;-6.01E-06
2.372;5.00E-07
2.374;4.55E-06
2.376;1.49E-06
2.378;1.61E-06
2.38;-1.00E-08
2.382;-2.64E-06
2.384;1.62E-06
2.386;4.17E-06
2.388;2.96E-06
2.39;2.92E-06
2.392;4.73E-06
2.394;4.52E-06
2.396;2.96E-06
2.398;4.46E-06
2.4;-2.40E-07
2.402;1.68E-06
2.404;1.12E-06
2.406;3.36E-06
2.408;3.60E-06
2.41;3.53E-06
2.412;2.59E-06
2.414;4.00E-06
2.416;3.44E-06
2.418;1.48E-06
2.42;1.39E-06
2.422;1.79E-06
